region_id,region_desc,year_quarter,avg_med_house_price,avg_rent_index
394463,"Chicago, IL",20181,284600,1610.46
394692,"Houston, TX",20181,294467,1337.16
394458,"Charlotte, NC",20181,297667,1277.7
394902,"Nashville, TN",20181,327633,1362.86
394355,"Austin, TX",20181,362567,1364.32
394463,"Chicago, IL",20182,299155.67,1634.16
394692,"Houston, TX",20182,299166.33,1347.97
394458,"Charlotte, NC",20182,305027,1300.55
394902,"Nashville, TN",20182,334822,1385.25
394355,"Austin, TX",20182,370133.67,1390.71
394692,"Houston, TX",20183,297866,1354.69
394463,"Chicago, IL",20183,298672.33,1648.71
394458,"Charlotte, NC",20183,305698.67,1321.6
394902,"Nashville, TN",20183,328822.33,1401.09
394355,"Austin, TX",20183,367249,1424.75
394463,"Chicago, IL",20184,288199.67,1624.81
394692,"Houston, TX",20184,291565.67,1353.32
394458,"Charlotte, NC",20184,300855.67,1325.76
394902,"Nashville, TN",20184,321911,1391.36
394355,"Austin, TX",20184,353108.33,1420.92
394463,"Chicago, IL",20191,285189,1634.52
394692,"Houston, TX",20191,290310,1352.66
394458,"Charlotte, NC",20191,295422.33,1342.51
394902,"Nashville, TN",20191,319814,1403.98
394355,"Austin, TX",20191,348825.33,1428.07
394692,"Houston, TX",20192,298955,1368.2
394463,"Chicago, IL",20192,305678,1674.67
394458,"Charlotte, NC",20192,311644.67,1371.88
394902,"Nashville, TN",20192,332806,1437.41
394355,"Austin, TX",20192,366468.33,1457.62
394692,"Houston, TX",20193,295638.33,1378.57
394463,"Chicago, IL",20193,302753.67,1694
394458,"Charlotte, NC",20193,312955.33,1391.16
394902,"Nashville, TN",20193,334755.33,1460.17
394355,"Austin, TX",20193,360384.33,1485.18
394692,"Houston, TX",20194,287655.33,1374.93
394463,"Chicago, IL",20194,290511,1673.86
394458,"Charlotte, NC",20194,302605.67,1393.92
394902,"Nashville, TN",20194,328177.67,1455.94
394355,"Austin, TX",20194,353667,1483.23
394692,"Houston, TX",20201,285110.67,1380.39
394463,"Chicago, IL",20201,286077.67,1681.54
394458,"Charlotte, NC",20201,300333,1400.22
394902,"Nashville, TN",20201,324777.67,1471.48
394355,"Austin, TX",20201,357866.67,1488.31
394692,"Houston, TX",20202,297143.67,1371.89
394463,"Chicago, IL",20202,299622.33,1695.56
394458,"Charlotte, NC",20202,311583.33,1395.9
394902,"Nashville, TN",20202,339277.67,1485.06
394355,"Austin, TX",20202,377889,1481.85
394692,"Houston, TX",20203,307077.33,1365.51
394463,"Chicago, IL",20203,307200,1680.95
394458,"Charlotte, NC",20203,324441.67,1409.66
394902,"Nashville, TN",20203,350533,1490
394355,"Austin, TX",20203,396366,1468.85
394463,"Chicago, IL",20204,302611.33,1632.61
394692,"Houston, TX",20204,313963.67,1377.27
394458,"Charlotte, NC",20204,319074.67,1425.38
394902,"Nashville, TN",20204,349200,1481.24
394355,"Austin, TX",20204,409525.67,1453.78
394463,"Chicago, IL",20211,300466.67,1626.12
394692,"Houston, TX",20211,315707,1380.35
394458,"Charlotte, NC",20211,322866.67,1452.13
394902,"Nashville, TN",20211,350305.33,1500.75
394355,"Austin, TX",20211,421107.67,1486.17
394463,"Chicago, IL",20212,311655.67,1703.04
394692,"Houston, TX",20212,328300,1424.61
394458,"Charlotte, NC",20212,344433.33,1522.6
394902,"Nashville, TN",20212,380821.33,1571.55
394355,"Austin, TX",20212,468040,1589.1
394463,"Chicago, IL",20213,308266.67,1772.8
394692,"Houston, TX",20213,333888.67,1508.28
394458,"Charlotte, NC",20213,352744.33,1625.67
394902,"Nashville, TN",20213,402196,1691.04
394355,"Austin, TX",20213,497181.33,1756.9
394463,"Chicago, IL",20214,295177.67,1790.82
394692,"Houston, TX",20214,331744.67,1541.2
394458,"Charlotte, NC",20214,361889,1701.51
394902,"Nashville, TN",20214,414643.67,1761.38
394355,"Austin, TX",20214,507528,1820.45
394463,"Chicago, IL",20221,290200,1825.09
394692,"Houston, TX",20221,329361,1557.35
394458,"Charlotte, NC",20221,369605.33,1733.08
394902,"Nashville, TN",20221,426483.33,1807.1
394355,"Austin, TX",20221,515276.67,1826.3
394463,"Chicago, IL",20222,316855.67,1889.09
394692,"Houston, TX",20222,353966.67,1593.2
394458,"Charlotte, NC",20222,392827.67,1786.99
394902,"Nashville, TN",20222,477744.33,1861.75
394355,"Austin, TX",20222,580097,1890.26
394463,"Chicago, IL",20223,320649.33,1937.37
394692,"Houston, TX",20223,362888.67,1624.87
394458,"Charlotte, NC",20223,396561.33,1857.28
394902,"Nashville, TN",20223,499072,1919.24
394355,"Austin, TX",20223,573222.33,1950.37
